Prefix,Occurrence,FirstPosition,MidPosition,LastPosition,OnlyWord,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Rank8,Rank9,Rank10,Rank11,Rank12,Rank13,Rank14,Rank15,Rank16,Rank17,Rank18,Rank19,Rank20
Parameters,275,0,0,275,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parse,3010,3010,0,0,93,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parsed,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parser,16,0,0,16,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Path,1240,0,508,732,0,0,465,143,472,53,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pattern,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Percent,64,0,64,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perform,47,47,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pid,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platform,469,0,249,220,0,0,462,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plexus,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plugin,17,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plugins,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Png,14,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pojo,69,0,0,69,0,0,0,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port,49,0,49,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pre,262,258,4,0,0,258,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predex,26,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prefix,76,0,0,76,0,0,0,0,2,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Process,1790,836,567,387,0,836,560,7,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prof,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Program,38,9,29,0,9,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Programs,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Progress,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proguard,1289,0,498,791,0,0,1283,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Project,371,0,371,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Properties,287,0,128,159,0,0,128,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prototype,9,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provider,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Publisher,140,0,0,140,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quiet,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,250,73,65,112,0,73,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raw,68,0,68,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
read,369,369,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
receive,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regex,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relevant,18,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remote,17,0,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
remove,30,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rename,83,83,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Report,294,0,286,8,0,0,2,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reporter,9,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resolve,502,502,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resolver,72,0,53,19,0,0,24,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resource,457,30,199,228,0,30,185,228,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resources,86,0,43,43,0,0,47,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Response,13,0,0,13,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Result,14,0,12,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retriever,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rs,303,0,0,303,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rules,54,0,54,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Run,2089,1351,738,0,973,1351,610,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Runner,190,0,154,36,0,0,0,173,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Safe,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Screens,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Screenshot,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Screenshots,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Script,600,0,598,2,0,0,0,0,598,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Sdk,863,0,419,444,0,0,576,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Secrets,71,0,71,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Security,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seed,7,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selected,8,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
send,443,443,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Separated,106,0,106,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serial,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Server,445,0,0,445,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Service,78,0,78,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Set,647,625,0,22,0,625,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
Severity,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shared,191,0,191,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shell,155,0,0,155,0,0,0,3,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shifted,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shortened,62,0,62,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
should,193,193,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Show,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrinked,51,0,51,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sign,109,0,109,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signed,7,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signer,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simple,4,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skip,45,31,0,14,0,31,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slash,45,0,0,45,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Source,38,0,34,4,0,0,22,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sources,180,0,176,4,0,0,2,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standard,72,0,72,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,1229,523,706,0,21,523,108,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Started,496,0,0,496,0,0,98,370,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Status,101,0,0,101,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Std,6,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Step,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop,522,522,0,0,5,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stopped,17,0,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Store,109,0,0,109,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stream,76,9,67,0,0,9,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
String,165,0,0,165,0,0,59,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stripper,601,0,0,601,0,0,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,14,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suffix,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supports,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sync,24,21,3,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syskeys,8,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Take,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Target,104,0,44,60,0,0,60,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Task,14,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test,1759,1217,275,267,0,1217,258,8,259,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tests,298,0,0,298,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Text,25,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
That,56,0,56,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theme,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This,186,0,186,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thread,67,0,67,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Threads,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Threshold,80,0,0,80,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threw,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throttle,7,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throw,319,67,0,252,0,67,0,0,0,131,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timeout,1127,0,0,1127,0,0,0,0,0,0,0,1127,0,0,0,0,0,0,0,0,0,0,0,0,0
Timeouts,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To,842,331,464,47,0,331,50,157,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tool,288,0,268,20,0,0,0,268,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toolchain,320,0,0,320,0,0,254,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tools,419,0,417,2,0,0,2,361,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Touch,8,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trackball,8,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transitive,438,0,438,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transport,17,0,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tree,88,0,0,88,0,0,11,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0
trim,68,68,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trusted,17,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Type,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UI,17,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
undeploy,225,225,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unix,278,0,0,278,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unjar,312,312,0,0,312,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unlock,187,187,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unpack,9,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unpacked,290,92,198,0,0,92,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsigned,7,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Until,1239,0,1239,0,0,0,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Update,6,0,6,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uppercase,15,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Url,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
User,161,0,161,0,0,0,159,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uses,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valid,209,207,0,2,0,207,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Validation,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Value,706,0,704,2,0,0,617,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Values,555,0,0,555,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verbose,49,21,0,28,21,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Version,847,201,328,318,0,201,272,0,8,362,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
visit,333,333,0,0,165,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wait,1489,1436,0,53,0,1436,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walk,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warn,60,55,5,0,4,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
warning,21,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warnings,4,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Windows,386,0,0,386,0,0,66,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
With,1977,0,1977,0,0,0,1514,362,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Without,71,0,71,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
write,880,880,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xml,92,11,79,2,0,11,2,2,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0
Zip,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zipalign,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
